Original Value,Processed Value
[],FCG2C_HUMAN
[],CEAM8_HUMAN
[],L1CAM_HUMAN
[],I5P2_HUMAN
[],PRDX2_HUMAN
[],ARRB2_HUMAN
[],GLPK_HUMAN
[],CCKAR_HUMAN
[],GASR_HUMAN
[],VIPR1_HUMAN
[],OTX1_HUMAN
[],OTX2_HUMAN
[],MC4R_HUMAN
[],CCR1_HUMAN
[],BRS3_HUMAN
[],CCR7_HUMAN
[],GP183_HUMAN
[],ACHA3_HUMAN
[],GRK4_HUMAN
[],CXCR5_HUMAN
[],CDD_HUMAN
[],DCTD_HUMAN
[],P5CR1_HUMAN
[],NAC1_HUMAN
[],GBP1_HUMAN
[],GBP2_HUMAN
[],ELF1_HUMAN
[],SSR3_HUMAN
[],HPPD_HUMAN
[],TF2H1_HUMAN
[],STX2_HUMAN
[],IFNA8_HUMAN
[],DSG3_HUMAN
[],IL3RB_HUMAN
[],CGL_HUMAN
[],ICAM3_HUMAN
[],RL9_HUMAN
[],CD70_HUMAN
[],TNFL8_HUMAN
[],MC5R_HUMAN
[],C2TA_HUMAN
[],ACSL1_HUMAN
[],CADH5_HUMAN
[],KINH_HUMAN
[],CSTF2_HUMAN
[],LSP1_HUMAN
[],CP2CI_HUMAN
[],CP2CJ_HUMAN
[],DUT_HUMAN
[],GCYA2_HUMAN
[],MRP1_HUMAN
[],CD80_HUMAN
[],S10A5_HUMAN
[],S10A3_HUMAN
[],H2B1B_HUMAN
[],ABCD1_HUMAN
[],MA1A1_HUMAN
[],ERD22_HUMAN
[],TTK_HUMAN
[],MCM4_HUMAN
[],MCM5_HUMAN
[],MCM7_HUMAN
[],GALNS_HUMAN
[],RNAS4_HUMAN
[],NTF4_HUMAN
[],SDC2_HUMAN
[],CD68_HUMAN
[],GLYC_HUMAN
[],GLYM_HUMAN
[],GBRA3_HUMAN
[],EVI2B_HUMAN
[],HYES_HUMAN
[],RYK_HUMAN
[],HS71L_HUMAN
[],HSP74_HUMAN
[],GRK5_HUMAN
[],MPI_HUMAN
[],5HT7R_HUMAN
[],CNR2_HUMAN
[],TRFR_HUMAN
[],OR1D2_HUMAN
[],PE2R1_HUMAN
[],CRFR1_HUMAN
[],TRY3_HUMAN
[],GPC1_HUMAN
[],BTC_HUMAN
[],PROF2_HUMAN
[],UBP6_HUMAN
[],CXA4_HUMAN
[],CAH5A_HUMAN
[],CAH8_HUMAN
[],CTNA1_HUMAN
[],CTNB1_HUMAN
[],IL13_HUMAN
[],BMI1_HUMAN
[],PCGF2_HUMAN
[],NOS2_HUMAN
[],PHB1_HUMAN
[],PTN7_HUMAN
[],SPB6_HUMAN
[],MERL_HUMAN
[],RADI_HUMAN
[],RECO_HUMAN
[],RFA3_HUMAN
[],SFTPD_HUMAN
[],RFC4_HUMAN
[],RFC2_HUMAN
[],RFC1_HUMAN
[],RL22_HUMAN
[],T2FA_HUMAN
[],SPRE_HUMAN
[],ADML_HUMAN
[],SPR1A_HUMAN
[],SPR2A_HUMAN
[],SSR5_HUMAN
[],ADA1A_HUMAN
[],PGH2_HUMAN
[],HRH1_HUMAN
[],ADA1B_HUMAN
[],OPRM_HUMAN
[],RORA_HUMAN
[],PE2R4_HUMAN
[],APJ_HUMAN
[],TSP2_HUMAN
[],TSP4_HUMAN
[],HXD12_HUMAN
[],HXD13_HUMAN
[],DRD3_HUMAN
[],IDUA_HUMAN
[],SCN1A_HUMAN
[],SCN4A_HUMAN
[],UD13_HUMAN
[],UD15_HUMAN
[],CBS_HUMAN
[],CLCN1_HUMAN
[],K1C9_HUMAN
[],MSX2_HUMAN
[],FBN1_HUMAN
[],FBN2_HUMAN
[],HXK4_HUMAN
[],PCKGC_HUMAN
[],IRS1_HUMAN
[],GDE_HUMAN
[],G6PC1_HUMAN
[],MYH9_HUMAN
[],MYH10_HUMAN
[],TIE1_HUMAN
[],COPB2_HUMAN
[],ACTN2_HUMAN
[],SOAT1_HUMAN
[],ADDA_HUMAN
[],ADDB_HUMAN
[],BASI_HUMAN
[],TIMP3_HUMAN
[],ARBK2_HUMAN
[],FUS_HUMAN
[],DDIT3_HUMAN
[],NU214_HUMAN
[],DEK_HUMAN
[],CYLC1_HUMAN
[],ATP7B_HUMAN
[],HNF1B_HUMAN
[],SOX5_HUMAN
[],SOX6_HUMAN
[],SOX18_HUMAN
[],SOX11_HUMAN
[],MYH11_HUMAN
[],GLRX1_HUMAN
[],ZNF93_HUMAN
[],CHKA_HUMAN
[],PPM1A_HUMAN
[],ALS_HUMAN
[],AHR_HUMAN
[],K1C20_HUMAN
[],K22E_HUMAN
[],PDE6B_HUMAN
[],HMGCL_HUMAN
[],VGFR3_HUMAN
[],VGFR2_HUMAN
[],PRS7_HUMAN
[],MOT8_HUMAN
[],CH3L1_HUMAN
[],GGT2_HUMAN
[],GGT5_HUMAN
[],CXA5_HUMAN
[],CXG1_HUMAN
[],TCF7_HUMAN
[],ARL2_HUMAN
[],ARL3_HUMAN
[],TRI23_HUMAN
[],MP2K2_HUMAN
[],ZNF76_HUMAN
[],ATPG_HUMAN
[],VATE1_HUMAN
[],ACHA7_HUMAN
[],HEM6_HUMAN
[],ARRC_HUMAN
[],RL4_HUMAN
[],8ODP_HUMAN
[],LONM_HUMAN
[],PGM1_HUMAN
[],PP1G_HUMAN
[],FLT3_HUMAN
[],BMR1A_HUMAN
[],ACV1B_HUMAN
[],TGFR1_HUMAN
[],TNR3_HUMAN
[],SPB5_HUMAN
[],RPB9_HUMAN
[],PEDF_HUMAN
[],SRBP1_HUMAN
[],ODO2_HUMAN
[],GMPR1_HUMAN
[],GPX4_HUMAN
[],FHR2_HUMAN
[],ACVL1_HUMAN
[],DHB3_HUMAN
[],DHB2_HUMAN
[],SCNNA_HUMAN
[],SRP14_HUMAN
[],TGFR2_HUMAN
[],NUP62_HUMAN
[],PPARG_HUMAN
[],HPCL1_HUMAN
[],FDFT_HUMAN
[],ZEB1_HUMAN
[],PIGA_HUMAN
[],V1AR_HUMAN
[],TAGL2_HUMAN
[],TALDO_HUMAN
[],SYUA_HUMAN
[],ETFB_HUMAN
[],RBMX_HUMAN
[],BRCA1_HUMAN
[],GNAL_HUMAN
[],COIL_HUMAN
[],VKGC_HUMAN
[],INGR2_HUMAN
[],HYALP_HUMAN
[],ITAE_HUMAN
[],LICH_HUMAN
[],VATA_HUMAN
[],HSPA9_HUMAN
[],IF4A3_HUMAN
[],SMBP2_HUMAN
[],CDN1A_HUMAN
[],RS19_HUMAN
[],RL3_HUMAN
[],COFA1_HUMAN
[],COIA1_HUMAN
[],GRIK1_HUMAN
[],MPV17_HUMAN
[],OST48_HUMAN
[],AN32A_HUMAN
[],FEN1_HUMAN
[],PA2G5_HUMAN
[],CUX1_HUMAN
[],MMP12_HUMAN
[],GDNF_HUMAN
[],CAPG_HUMAN
[],CAP2_HUMAN
[],TYRP2_HUMAN
[],ADCY8_HUMAN
[],IL6RB_HUMAN
[],GPV_HUMAN
[],CEAM3_HUMAN
[],CEAM6_HUMAN
[],TACT_HUMAN
[],NCYM_HUMAN
[],TXLNA_HUMAN
[],TPO_HUMAN
[],TCPZ_HUMAN
[],TPOR_HUMAN
[],CD79B_HUMAN
[],NNMT_HUMAN
[],IFI27_HUMAN
[],PSB10_HUMAN
[],VHL_HUMAN
[],ADH7_HUMAN
[],PBX1_HUMAN
[],PBX2_HUMAN
[],PBX3_HUMAN
[],RL13A_HUMAN
[],ARL1_HUMAN
[],ARL4A_HUMAN
[],MLH1_HUMAN
[],STAT3_HUMAN
[],UBP8_HUMAN
[],PEX19_HUMAN
[],S26A3_HUMAN
[],MDHC_HUMAN
[],MDHM_HUMAN
[],IL15_HUMAN
[],RFC5_HUMAN
[],RFC3_HUMAN
[],ECHA_HUMAN
[],PMEL_HUMAN
[],CCNF_HUMAN
[],IF2G_HUMAN
[],ID1_HUMAN
[],OPRD_HUMAN
[],OPRK_HUMAN
[],OPRX_HUMAN
[],LEP_HUMAN
[],ETV5_HUMAN
[],ETV3_HUMAN
[],CASR_HUMAN
[],AQP2_HUMAN
[],BCL6_HUMAN
[],CETN2_HUMAN
[],ETV6_HUMAN
[],EIF2D_HUMAN
[],OX2G_HUMAN
[],MNDA_HUMAN
[],PERI_HUMAN
[],RGS2_HUMAN
[],WNT5A_HUMAN
[],PTGDS_HUMAN
[],BUD31_HUMAN
[],SOX3_HUMAN
[],UBA7_HUMAN
[],NAA10_HUMAN
[],KDM5C_HUMAN
[],P2RY2_HUMAN
[],HNF4A_HUMAN
[],IPP2_HUMAN
[],ABEC1_HUMAN
[],CSK_HUMAN
[],PLPL4_HUMAN
[],GARS_HUMAN
[],SYIC_HUMAN
[],NBL1_HUMAN
[],TNFL9_HUMAN
[],M3K8_HUMAN
[],FOLR3_HUMAN
[],S19A1_HUMAN
[],EIF1_HUMAN
[],PACR_HUMAN
[],VIPR2_HUMAN
[],GRM5_HUMAN
[],5HT2B_HUMAN
[],CCR2_HUMAN
[],TSN7_HUMAN
[],KPCI_HUMAN
[],MC3R_HUMAN
[],ELK3_HUMAN
[],ACTY_HUMAN
[],CD86_HUMAN
[],ECI1_HUMAN
[],ASIP_HUMAN
[],LAP2A_HUMAN
[],LAP2B_HUMAN
[],STAT1_HUMAN
[],STAT6_HUMAN
[],STA5A_HUMAN
[],GRIA1_HUMAN
[],GRIA2_HUMAN
[],GRIA3_HUMAN
[],MTREX_HUMAN
[],AK1C3_HUMAN
[],RHG25_HUMAN
[],PK3CA_HUMAN
[],PK3CB_HUMAN
[],MTOR_HUMAN
[],PI4KA_HUMAN
[],EPS15_HUMAN
[],AF9_HUMAN
[],CASP3_HUMAN
[],CASP2_HUMAN
[],DPP6_HUMAN
[],RS27_HUMAN
[],MATK_HUMAN
[],TEC_HUMAN
[],TXK_HUMAN
[],ABL2_HUMAN
[],FRK_HUMAN
[],HELZ_HUMAN
[],CNDD3_HUMAN
[],I12R1_HUMAN
[],LIFR_HUMAN
[],LPPRC_HUMAN
[],THIM_HUMAN
[],RL35_HUMAN
[],WASP_HUMAN
[],CDN2A_HUMAN
[],CDN2B_HUMAN
[],CDN2C_HUMAN
[],PCP_HUMAN
[],CXCL5_HUMAN
[],NSG1_HUMAN
[],HD_HUMAN
[],ECE1_HUMAN
[],MTHR_HUMAN
[],EAA1_HUMAN
[],EAA2_HUMAN
[],EAA3_HUMAN
[],SATT_HUMAN
[],GDF5_HUMAN
[],LIS1_HUMAN
[],GUC1A_HUMAN
[],PF2R_HUMAN
[],PE2R3_HUMAN
[],PE2R2_HUMAN
[],PI2R_HUMAN
[],MUC18_HUMAN
[],DCC_HUMAN
[],CACP_HUMAN
[],CAH7_HUMAN
[],GLP1R_HUMAN
[],CATO_HUMAN
[],CATK_HUMAN
[],MATR3_HUMAN
[],MSH2_HUMAN
[],GRK6_HUMAN
[],BTD_HUMAN
[],ETV4_HUMAN
[],GPDM_HUMAN
[],SSRA_HUMAN
[],SSRB_HUMAN
[],CRBB2_HUMAN
[],RAD52_HUMAN
[],AL3B1_HUMAN
[],NR4A2_HUMAN
[],MAGA1_HUMAN
[],MAGA2_HUMAN
[],MAGA3_HUMAN
[],MAGA4_HUMAN
[],MAGA6_HUMAN
[],MAGA8_HUMAN
[],MAGAB_HUMAN
[],MAGAC_HUMAN
[],PTN9_HUMAN
[],ZAP70_HUMAN
[],KSYK_HUMAN
[],RANG_HUMAN
[],TNR4_HUMAN
[],NAMPT_HUMAN
[],KI2L1_HUMAN
[],KI2L3_HUMAN
[],KI3L1_HUMAN
[],KI3L2_HUMAN
[],KI2S2_HUMAN
[],KI2S4_HUMAN
[],AFAM_HUMAN
[],LPAR6_HUMAN
[],ACHA4_HUMAN
[],PRS6B_HUMAN
[],GATA4_HUMAN
[],NKX21_HUMAN
[],EFTS_HUMAN
[],TNNT3_HUMAN
[],TNNT2_HUMAN
[],ACY2_HUMAN
[],MMP13_HUMAN
[],ABCG1_HUMAN
[],PPIC_HUMAN
[],VDAC2_HUMAN
[],ACDSB_HUMAN
[],CBX5_HUMAN
[],UBP5_HUMAN
[],MK08_HUMAN
[],MK09_HUMAN
[],MP2K4_HUMAN
[],KI67_HUMAN
[],KPB2_HUMAN
[],KPB1_HUMAN
[],S15A1_HUMAN
[],RAGP1_HUMAN
[],RECQ1_HUMAN
[],NOP2_HUMAN
[],GPR3_HUMAN
[],CML2_HUMAN
[],CCR10_HUMAN
[],GPR4_HUMAN
[],XCR1_HUMAN
[],5HT3A_HUMAN
[],ATRX_HUMAN
[],CRK_HUMAN
[],CRKL_HUMAN
[],IF2M_HUMAN
[],BAG6_HUMAN
[],GSTM5_HUMAN
[],NSF_HUMAN
[],CDN1B_HUMAN
[],NOTC1_HUMAN
[],ASMT_HUMAN
[],BKRB1_HUMAN
[],IEX1_HUMAN
[],SO1A2_HUMAN
[],MP2K3_HUMAN
[],BRCC3_HUMAN
[],RL27A_HUMAN
[],RL5_HUMAN
[],RL21_HUMAN
[],RL28_HUMAN
[],RS9_HUMAN
[],RS5_HUMAN
[],RS10_HUMAN
[],MAP1B_HUMAN
[],GNPI1_HUMAN
[],NEDD4_HUMAN
[],YAP1_HUMAN
[],UTRN_HUMAN
[],IQGA1_HUMAN
[],3HAO_HUMAN
[],GLYG_HUMAN
[],STT3A_HUMAN
[],GALR1_HUMAN
[],MSS4_HUMAN
[],CASA1_HUMAN
[],PA24A_HUMAN
[],RPGP1_HUMAN
[],CAZA2_HUMAN
[],CAPZB_HUMAN
[],RGR_HUMAN
[],IF1AX_HUMAN
[],GBRA2_HUMAN
[],GBRB2_HUMAN
[],GLR_HUMAN
[],SCTR_HUMAN
[],AL1A3_HUMAN
[],SYQ_HUMAN
[],5HT5A_HUMAN
[],P2RY1_HUMAN
[],V1BR_HUMAN
[],CDX1_HUMAN
[],RL29_HUMAN
[],ID4_HUMAN
[],LEG7_HUMAN
[],TISD_HUMAN
[],UCRI_HUMAN
[],XDH_HUMAN
[],XCL1_HUMAN
[],TNFL6_HUMAN
[],SC6A8_HUMAN
[],MTR1A_HUMAN
[],ATPO_HUMAN
[],KCNJ1_HUMAN
[],KCNJ4_HUMAN
[],KCNJ6_HUMAN
[],CBPA2_HUMAN
[],GRIA4_HUMAN
[],LIMS1_HUMAN
[],SDF1_HUMAN
[],S6A12_HUMAN
[],S6A11_HUMAN
[],SC6A9_HUMAN
[],NPBW1_HUMAN
[],NPBW2_HUMAN
[],PPCE_HUMAN
[],MAOX_HUMAN
[],CXA8_HUMAN
[],GLRB_HUMAN
[],GBRA4_HUMAN
[],IREB2_HUMAN
[],AT5G3_HUMAN
[],T4S4_HUMAN
[],REG1B_HUMAN
[],TFPI2_HUMAN
[],LEPR_HUMAN
[],RFX2_HUMAN
[],RFX3_HUMAN
[],RFX5_HUMAN
[],PI42A_HUMAN
[],SOX2_HUMAN
[],SOX9_HUMAN
[],RXRG_HUMAN
[],COPD_HUMAN
[],AL3B2_HUMAN
[],LSS_HUMAN
[],PP2BC_HUMAN
[],GSH1_HUMAN
[],GSH0_HUMAN
[],CD151_HUMAN
[],PCP4_HUMAN
[],KCNJ5_HUMAN
[],GIPR_HUMAN
[],KCNC1_HUMAN
[],KCNJ3_HUMAN
[],INAR2_HUMAN
[],NRIP1_HUMAN
[],TPC10_HUMAN
[],PSMD8_HUMAN
[],SPB4_HUMAN
[],SPB10_HUMAN
[],PRC2A_HUMAN
[],GSHB_HUMAN
[],TCPE_HUMAN
[],NMU_HUMAN
[],PTSS1_HUMAN
[],EAA4_HUMAN
[],K2C6C_HUMAN
[],NEST_HUMAN
[],HSP13_HUMAN
[],GCST_HUMAN
[],KC1A_HUMAN
[],KC1D_HUMAN
[],IDHP_HUMAN
[],PK3CG_HUMAN
[],PIPNB_HUMAN
[],MASP1_HUMAN
[],LHX1_HUMAN
[],CCN3_HUMAN
[],B3A3_HUMAN
[],SL9A3_HUMAN
[],T23O_HUMAN
[],TNNI2_HUMAN
[],AGRE5_HUMAN
[],TRPC1_HUMAN
[],DPOD2_HUMAN
[],MRP_HUMAN
[],HCAR3_HUMAN
[],PAXI_HUMAN
[],CAMLG_HUMAN
[],NR2C2_HUMAN
[],MAPK2_HUMAN
[],NPY2R_HUMAN
[],DNSL1_HUMAN
[],AL9A1_HUMAN
[],PTH2R_HUMAN
[],RL34_HUMAN
[],TGM4_HUMAN
[],CX3C1_HUMAN
[],RPIA_HUMAN
[],LMAN1_HUMAN
[],NRAM1_HUMAN
[],NRAM2_HUMAN
[],MTR1B_HUMAN
[],NASP_HUMAN
[],FMO5_HUMAN
[],FAS_HUMAN
[],PO3F4_HUMAN
[],CDK8_HUMAN
[],FNTA_HUMAN
[],FNTB_HUMAN
[],DHYS_HUMAN
[],TCPG_HUMAN
[],ARRB1_HUMAN
[],EFTU_HUMAN
[],AMPH_HUMAN
[],AL7A1_HUMAN
[],UB2R1_HUMAN
[],CY561_HUMAN
[],DHE4_HUMAN
[],CENPA_HUMAN
[],CENPF_HUMAN
[],SRP09_HUMAN
[],UBE2A_HUMAN
[],PCY1A_HUMAN
[],SYAC_HUMAN
[],SYCC_HUMAN
[],SYHM_HUMAN
[],SYSC_HUMAN
[],PPM1F_HUMAN
[],DGKG_HUMAN
[],TTPA_HUMAN
[],HXA1_HUMAN
[],EVX1_HUMAN
[],MA2A2_HUMAN
[],PRI1_HUMAN
[],PRI2_HUMAN
[],CASP4_HUMAN
[],KC1E_HUMAN
[],STAR_HUMAN
[],CXCR3_HUMAN
[],PRLHR_HUMAN
[],GPR15_HUMAN
[],ARL4D_HUMAN
[],CTCF_HUMAN
[],CEBPA_HUMAN
[],CEBPD_HUMAN
[],PSB3_HUMAN
[],PSB2_HUMAN
[],MCM2_HUMAN
[],TSP3_HUMAN
[],COMP_HUMAN
[],ACADV_HUMAN
[],ACOT2_HUMAN
[],VPS41_HUMAN
[],TMEDA_HUMAN
[],RBM25_HUMAN
[],NUMB_HUMAN
[],RGS6_HUMAN
[],CLK1_HUMAN
[],CLK2_HUMAN
[],CLK3_HUMAN
[],PLGF_HUMAN
[],VEGFB_HUMAN
[],VEGFC_HUMAN
[],PSN1_HUMAN
[],EI2BB_HUMAN
[],FLT3L_HUMAN
[],HINT1_HUMAN
[],TIG1_HUMAN
[],FHIT_HUMAN
[],NU153_HUMAN
[],RBP2_HUMAN
[],RGS19_HUMAN
[],RGS3_HUMAN
[],RGS4_HUMAN
[],RGS7_HUMAN
[],PSN2_HUMAN
[],TSC2_HUMAN
[],NDUV1_HUMAN
[],GSK3A_HUMAN
[],GSK3B_HUMAN
[],WHR1_HUMAN
[],TAF6_HUMAN
[],KLK7_HUMAN
[],GRAK_HUMAN
[],ST1E1_HUMAN
[],IOD1_HUMAN
[],MCSP_HUMAN
[],5NTC_HUMAN
[],SPS1_HUMAN
[],SEPP1_HUMAN
[],ZN165_HUMAN
[],CAMP_HUMAN
[],MTHFS_HUMAN
[],GUAA_HUMAN
[],DNLI3_HUMAN
[],DNLI4_HUMAN
[],CDN1C_HUMAN
[],MRE11_HUMAN
[],ENTP1_HUMAN
[],AGTR2_HUMAN
[],KHK_HUMAN
[],HNMT_HUMAN
[],GNAQ_HUMAN
[],GBG4_HUMAN
[],GBG10_HUMAN
[],IDH3A_HUMAN
[],MNX1_HUMAN
[],MEOX1_HUMAN
[],MEOX2_HUMAN
[],ST1A1_HUMAN
[],ST1A2_HUMAN
[],CRIP1_HUMAN
[],MMP14_HUMAN
[],PPOX_HUMAN
[],NPY4R_HUMAN
[],GDIB_HUMAN
[],EMD_HUMAN
[],5HT6R_HUMAN
[],CPT1A_HUMAN
[],GATM_HUMAN
[],S26A2_HUMAN
[],SPB8_HUMAN
[],SPB9_HUMAN
[],SERPH_HUMAN
[],LHX2_HUMAN
[],CSRP3_HUMAN
[],PDLI4_HUMAN
[],F10A1_HUMAN
[],MXI1_HUMAN
[],PEX5_HUMAN
[],ERF_HUMAN
[],ETV1_HUMAN
[],VASP_HUMAN
[],ASCL1_HUMAN
[],DYN2_HUMAN
[],MAP2_HUMAN
[],AP4A_HUMAN
[],TNF10_HUMAN
[],TUB_HUMAN
[],CDK7_HUMAN
[],TOB1_HUMAN
[],BPL1_HUMAN
[],KNTC1_HUMAN
[],RASF2_HUMAN
[],CDK9_HUMAN
[],LRBA_HUMAN
[],R144A_HUMAN
[],BCAM_HUMAN
[],PPT1_HUMAN
[],RL14_HUMAN
[],TCPQ_HUMAN
[],TCPD_HUMAN
[],AT1A2_HUMAN
[],ANX11_HUMAN
[],PAPOA_HUMAN
[],FXR1_HUMAN
[],FXR2_HUMAN
[],GRAM_HUMAN
[],RAB5C_HUMAN
[],RAB7A_HUMAN
[],RAB9A_HUMAN
[],RAB13_HUMAN
[],RAB28_HUMAN
[],RB27A_HUMAN
[],PDE6C_HUMAN
[],FABP6_HUMAN
[],ATP4B_HUMAN
[],SCNNB_HUMAN
[],SCNNG_HUMAN
[],SCNND_HUMAN
[],PLCD1_HUMAN
[],DAP1_HUMAN
[],RT29_HUMAN
[],RORG_HUMAN
[],BLK_HUMAN
[],DUS3_HUMAN
[],INSL3_HUMAN
[],MMP15_HUMAN
[],MMP16_HUMAN
[],NOVA1_HUMAN
[],DNA2_HUMAN
[],SMCA2_HUMAN
[],SMCA4_HUMAN
[],IDH3G_HUMAN
[],GALK1_HUMAN
[],SSRD_HUMAN
[],BAP31_HUMAN
[],P2RX1_HUMAN
[],TPMT_HUMAN
[],P2RY4_HUMAN
[],BRCA2_HUMAN
[],CP2J2_HUMAN
[],RENBP_HUMAN
[],MECP2_HUMAN
[],HCFC1_HUMAN
[],IRAK1_HUMAN
[],CAV2_HUMAN
[],AL3A2_HUMAN
[],SSDH_HUMAN
[],GPC3_HUMAN
[],DHB4_HUMAN
[],PSMD7_HUMAN
[],UB2D1_HUMAN
[],CCL11_HUMAN
[],GPM6A_HUMAN
[],CCR3_HUMAN
[],CCR4_HUMAN
[],CCR5_HUMAN
[],CCR6_HUMAN
[],CCR8_HUMAN
[],CCR9_HUMAN
[],SUOX_HUMAN
[],SPHM_HUMAN
[],ARSL_HUMAN
[],STA5B_HUMAN
[],APLP1_HUMAN
[],UBP11_HUMAN
[],KCNQ1_HUMAN
[],CLCN2_HUMAN
[],CLCN3_HUMAN
[],CLCN4_HUMAN
[],CLCN5_HUMAN
[],CLCN6_HUMAN
[],CLCN7_HUMAN
[],CLCKA_HUMAN
[],CLCKB_HUMAN
[],PLXA3_HUMAN
[],DYLT3_HUMAN
[],VAMP7_HUMAN
[],GP143_HUMAN
[],XK_HUMAN
[],KS6A3_HUMAN
[],BMX_HUMAN
[],ZNF41_HUMAN
[],AFF2_HUMAN
[],PRKX_HUMAN
[],AFF1_HUMAN
[],AFF3_HUMAN
[],ADCY7_HUMAN
[],GUC2F_HUMAN
[],NR0B1_HUMAN
[],TKTL1_HUMAN
[],AK1D1_HUMAN
[],HDGF_HUMAN
[],TDGF3_HUMAN
[],CASP5_HUMAN
[],LUM_HUMAN
[],PRELP_HUMAN
[],CNN1_HUMAN
[],CCNH_HUMAN
[],MAT1_HUMAN
[],NEK2_HUMAN
[],NEK3_HUMAN
[],NEK4_HUMAN
[],CCNG1_HUMAN
[],UB2E1_HUMAN
[],NDUA8_HUMAN
[],ROA3_HUMAN
[],FUT6_HUMAN
[],MYOM1_HUMAN
[],RND2_HUMAN
[],6PGD_HUMAN
[],HNRPM_HUMAN
[],IMA1_HUMAN
[],IMA5_HUMAN
[],NCBP2_HUMAN
[],GDS1_HUMAN
[],JAK3_HUMAN
[],DGKE_HUMAN
[],RPAB3_HUMAN
[],RPB11_HUMAN
[],MP2K6_HUMAN
[],GDIR1_HUMAN
[],GDIR2_HUMAN
[],CTR2_HUMAN
[],AGFG1_HUMAN
[],HNRPF_HUMAN
[],STAT2_HUMAN
[],TF2AA_HUMAN
[],T2AG_HUMAN
[],MSH6_HUMAN
[],KIF11_HUMAN
[],VAV2_HUMAN
[],ZN133_HUMAN
[],ZN140_HUMAN
[],ZN131_HUMAN
[],ZN135_HUMAN
[],ZN138_HUMAN
[],ZN143_HUMAN
[],RBM5_HUMAN
[],CHIO_HUMAN
[],RIDA_HUMAN
[],SPSY_HUMAN
[],HXK2_HUMAN
[],HXK3_HUMAN
[],EFNA3_HUMAN
[],EFNA4_HUMAN
[],EFNB2_HUMAN
[],EFNA5_HUMAN
[],RM12_HUMAN
[],STC1_HUMAN
[],DGKQ_HUMAN
[],NDST1_HUMAN
[],NDST2_HUMAN
[],THOP1_HUMAN
[],AK1C2_HUMAN
[],CAZA1_HUMAN
[],HMGA2_HUMAN
[],PDX1_HUMAN
[],NUP98_HUMAN
[],GBX2_HUMAN
[],NKX25_HUMAN
[],LBX1_HUMAN
[],NAR1_HUMAN
[],BIEA_HUMAN
[],TXTP_HUMAN
[],PPP5_HUMAN
[],PLK1_HUMAN
[],DAPK1_HUMAN
[],ARFP2_HUMAN
[],ARFP1_HUMAN
[],NUDT6_HUMAN
[],NUBP1_HUMAN
[],ACLY_HUMAN
[],CO4A4_HUMAN
[],FOSB_HUMAN
[],CEBPG_HUMAN
[],MAP11_HUMAN
[],SUCA_HUMAN
[],MVD1_HUMAN
[],PGTB1_HUMAN
[],PGTB2_HUMAN
[],COPB_HUMAN
[],COPA_HUMAN
[],CATC_HUMAN
[],LIMK1_HUMAN
[],LIMK2_HUMAN
[],CRBA2_HUMAN
[],CRBA4_HUMAN
[],CRBB1_HUMAN
[],CLH2_HUMAN
[],AP3M2_HUMAN
[],AP2S1_HUMAN
[],CCHL_HUMAN
[],ITA8_HUMAN
[],MK12_HUMAN
[],MK10_HUMAN
[],SC5A3_HUMAN
[],PTTG_HUMAN
[],RPAB4_HUMAN
[],TTC3_HUMAN
[],RCAN1_HUMAN
[],SMTN_HUMAN
[],PLAT3_HUMAN
[],MOT1_HUMAN
[],IST1_HUMAN
[],SC24C_HUMAN
[],TCP4_HUMAN
[],DPOG1_HUMAN
[],ICLN_HUMAN
[],CRIS1_HUMAN
[],CRIS3_HUMAN
[],BLM_HUMAN
[],SYRC_HUMAN
[],HIRA_HUMAN
[],VMAT1_HUMAN
[],ATX3_HUMAN
[],ATX1_HUMAN
[],HAP1_HUMAN
[],ATN1_HUMAN
[],TERF1_HUMAN
[],PMS1_HUMAN
[],PMS2_HUMAN
[],CACB3_HUMAN
[],CA2D1_HUMAN
[],MYOM2_HUMAN
[],LIPR1_HUMAN
[],LIPR2_HUMAN
[],OAZ1_HUMAN
[],SYYC_HUMAN
[],UBP14_HUMAN
[],AAKG1_HUMAN
[],AAPK2_HUMAN
[],HSP72_HUMAN
[],BCAT1_HUMAN
[],AT12A_HUMAN
[],AT1B3_HUMAN
[],ATNG_HUMAN
[],RD23A_HUMAN
[],RD23B_HUMAN
[],PDE1A_HUMAN
[],EPHB3_HUMAN
[],EPHA5_HUMAN
[],EPHB4_HUMAN
[],EPHB1_HUMAN
[],EPHA4_HUMAN
[],ANAG_HUMAN
[],GALC_HUMAN
[],KAD2_HUMAN
[],PRRX1_HUMAN
[],GAS1_HUMAN
[],PTN5_HUMAN
[],GYS2_HUMAN
[],NRL_HUMAN
[],EMP1_HUMAN
[],EMP2_HUMAN
[],EMP3_HUMAN
[],UDB15_HUMAN
[],HMCS2_HUMAN
[],P5CS_HUMAN
[],SNAA_HUMAN
[],ADPRH_HUMAN
[],SLUR1_HUMAN
[],MFAP2_HUMAN
[],AIF1_HUMAN
[],IF5_HUMAN
[],S12A2_HUMAN
[],S12A3_HUMAN
[],PSMD4_HUMAN
[],DRG2_HUMAN
[],GEM_HUMAN
[],RAD_HUMAN
[],NR1H2_HUMAN
[],APOC4_HUMAN
[],PLTP_HUMAN
[],XPO2_HUMAN
[],BI1_HUMAN
[],AQP5_HUMAN
[],TERA_HUMAN
[],IOD3_HUMAN
[],FGF8_HUMAN
